# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
9.540000000000e+03,8.268538771729e+03
9.600000000000e+03,8.273948811566e+03
9.660000000000e+03,8.279285820134e+03
9.720000000000e+03,8.284552483627e+03
9.780000000000e+03,8.289751376189e+03
9.840000000000e+03,8.294884964614e+03
9.900000000000e+03,8.299955612829e+03
9.960000000000e+03,8.304965586204e+03
1.002000000000e+04,8.309917055670e+03
1.008000000000e+04,8.314812101690e+03
1.014000000000e+04,8.319652718046e+03
1.020000000000e+04,8.324440815471e+03
1.026000000000e+04,8.329178225146e+03
1.032000000000e+04,8.333866702026e+03
1.038000000000e+04,8.338507928058e+03
1.044000000000e+04,8.343103515235e+03
1.050000000000e+04,8.347655008536e+03
1.056000000000e+04,8.352163888752e+03
1.062000000000e+04,8.356631575176e+03
1.068000000000e+04,8.361059428197e+03
1.074000000000e+04,8.365448751761e+03
1.080000000000e+04,8.369800795761e+03
1.086000000000e+04,8.374116758305e+03
1.092000000000e+04,8.378397787887e+03
1.098000000000e+04,8.382644985481e+03
1.104000000000e+04,8.386859406535e+03
1.110000000000e+04,8.391042062881e+03
1.116000000000e+04,8.395193924582e+03
1.122000000000e+04,8.399315921668e+03
1.128000000000e+04,8.403408945835e+03
1.134000000000e+04,8.407473852048e+03
1.140000000000e+04,8.411511460081e+03
1.146000000000e+04,8.415522556004e+03
1.152000000000e+04,8.419507893581e+03
1.158000000000e+04,8.423468195645e+03
1.164000000000e+04,8.427404155385e+03
1.170000000000e+04,8.431316437584e+03
1.176000000000e+04,8.435205679823e+03
1.182000000000e+04,8.439072493608e+03
1.188000000000e+04,8.442917465468e+03
1.194000000000e+04,8.446741158003e+03
1.200000000000e+04,8.450544110877e+03
1.206000000000e+04,7.959363488644e+03
1.212000000000e+04,7.538395778162e+03
1.218000000000e+04,7.171021577222e+03
1.224000000000e+04,6.845259674952e+03
1.230000000000e+04,6.552355710258e+03
1.236000000000e+04,6.285832681643e+03
1.242000000000e+04,6.040841473618e+03
1.248000000000e+04,5.813710020508e+03
1.254000000000e+04,5.601626250961e+03
1.260000000000e+04,5.402412488008e+03
1.266000000000e+04,5.214363250213e+03
1.272000000000e+04,5.036127518290e+03
1.278000000000e+04,4.866622535861e+03
1.284000000000e+04,4.704970192253e+03
1.290000000000e+04,4.550449720975e+03
1.296000000000e+04,4.402462282716e+03
1.302000000000e+04,4.260504270233e+03
1.308000000000e+04,4.124147058850e+03
1.314000000000e+04,3.993021551456e+03
1.320000000000e+04,3.866806311742e+03
1.326000000000e+04,3.745218398601e+03
1.332000000000e+04,3.628006245141e+03
1.338000000000e+04,3.514944093644e+03
1.344000000000e+04,3.405827620647e+03
1.350000000000e+04,3.300470476860e+03
1.356000000000e+04,3.198701533728e+03
1.362000000000e+04,3.100362678418e+03
1.368000000000e+04,3.005307036390e+03
1.374000000000e+04,2.913397528927e+03
1.380000000000e+04,2.824505694237e+03
1.386000000000e+04,2.738510716915e+03
1.392000000000e+04,2.655298622890e+03
1.398000000000e+04,2.574761606416e+03
1.404000000000e+04,2.496797462948e+03
1.410000000000e+04,2.421309107320e+03
1.416000000000e+04,2.348204161002e+03
1.422000000000e+04,2.277394595616e+03
